49,20,7,2,26,41,34,11,28
2,23,40,17,32,9,27,5,35
7,31,18,40,13,26,5,28,43
19,44,29,7,21,34,1,25,40
44,18,3,27,12,36,19,47,8
5,27,43,18,3,34,13,38,21
48,22,5,31,10,24,16,39,2
24,7,33,10,29,16,43,5,22
37,16,2,25,9,41,19,43,6
31,8,25,1,22,43,16,39,4
25,8,31,14,33,2,22,47,12
33,8,21,48,15,30,2,24,39
22,43,9,3,28,16,34,5,20
10,34,19,45,1,24,8,30,17
12,38,20,3,26,45,1,21,33
6,30,17,39,11,2,23,48,3
32,15,4,28,5,26,13,37,45
35,11,28,4,22,41,17,39,6
47,2,25,16,38,1,33,10,29
47,20,5,23,7,33,14,39,2
1,17,46,31,8,25,14,39,2
40,17,32,10,28,5,23,44,9
29,6,35,12,28,47,20,45,9
15,48,24,8,31,17,42,3,27
14,42,24,9,31,1,27,5,36
36,13,27,9,24,41,18,3,30
11,36,23,4,29,15,38,6,21
28,0,20,8,16,24,12,32,4
45,13,2,33,7,29,16,38,50
38,19,4,23,10,33,1,26,44
28,9,34,17,41,4,30,1,23
48,20,1,34,9,22,14,41,4
19,45,3,26,12,37,1,29,16
2,26,38,49,15,31,1,21,40
30,13,26,7,23,40,3,18,33
41,1,27,8,34,19,25,46,12
44,15,29,6,28,10,23,47,3
1,17,38,22,6,29,12,35,49
21,46,9,32,14,3,26,4,20
19,42,1,28,11,34,5,26,48
16,39,25,2,28,11,31,6,45
49,24,7,30,13,1,36,18,4
37,11,30,19,4,27,15,41,6
43,16,1,27,9,35,19,42,4
14,0,10,4,8,12,6,16,2
3,28,44,18,5,23,37,13,31
5,24,42,21,1,35,18,32,49
23,2,17,8,14,20,11,26,5
4,21,39,26,11,32,18,43,1
1,18,37,13,30,49,26,8,33
39,12,27,6,25,48,1,19,36
29,1,22,46,14,30,8,35,11
14,35,20,4,23,42,31,9,18
