42,17,36,20,4,25,9,44,31
34,9,26,1,22,48,16,42,5
15,30,4,26,1,41,33,9,22
45,19,6,30,1,39,25,49,11
13,41,29,6,22,35,48,10,1
48,11,34,21,5,29,16,41,7
10,39,22,5,31,1,47,13,29
20,5,33,17,45,28,3,39,16
49,25,11,3,38,20,32,16,43
5,29,15,42,18,3,36,9,24
24,7,47,15,34,2,42,21,11
1,15,35,42,24,13,7,47,27
17,45,29,6,23,37,11,31,5
19,46,10,3,25,39,22,43,7
16,2,12,6,10,14,8,18,4
43,8,20,3,30,16,27,49,14
3,32,17,29,13,44,8,37,20
7,28,41,14,35,2,24,46,12
8,35,18,46,21,2,29,12,40
36,12,22,5,46,24,10,3,50
0,26,38,4,32,49,23,18,37
7,23,40,14,28,34,43,11,26
26,11,38,1,22,41,34,7,19
6,37,21,4,29,17,30,45,12
33,1,24,14,39,28,46,12,4
31,2,27,14,40,21,48,13,33
6,36,23,49,12,4,31,20,44
15,1,11,5,9,13,7,17,3
31,14,3,48,26,7,20,42,11
44,3,26,10,39,20,32,15,49
31,43,14,27,9,40,19,38,5
23,47,12,38,15,2,29,7,35
3,31,19,28,46,8,35,1,22
11,36,21,8,27,44,2,33,16
2,18,40,25,9,35,48,6,22
22,1,16,7,13,19,10,25,4
21,4,33,48,15,26,9,38,17
50,21,3,14,29,41,8,33,17
49,18,2,25,37,1,44,8,30
19,44,8,32,5,27,13,37,49
4,25,39,44,19,2,17,31,47
4,27,45,22,9,33,1,39,17
8,1,6,3,5,7,4,9,2
19,42,3,24,7,36,1,33,48
35,8,28,14,46,23,41,18,5
12,48,7,33,1,25,40,19,5
