35,10,29,4,21,42,17,38,7
18,41,2,27,10,33,6,25,40
32,9,24,4,28,15,35,7,18
19,40,23,5,28,11,32,7,21
19,44,21,2,27,10,31,8,25
15,37,2,24,9,30,13,36,1
30,9,23,49,14,1,28,5,20
18,39,22,5,28,13,36,9,1
10,35,18,41,12,27,5,26,43
36,11,26,4,24,43,17,2,29
1,19,40,25,8,31,12,33,46
49,18,5,26,1,33,14,38,20
17,38,5,26,9,32,13,36,1
42,15,28,6,23,38,11,30,3
3,27,44,16,7,31,12,38,21
7,30,19,42,15,2,26,11,36
17,40,1,26,10,31,5,22,43
34,1,26,10,22,41,17,3,28
20,43,8,31,6,27,11,34,47
41,18,1,33,10,25,4,22,39
38,14,27,5,22,43,16,3,26
37,2,27,12,22,32,17,42,7
30,13,22,3,26,15,36,9,18
42,0,30,10,24,38,18,48,6
36,13,24,7,22,39,16,1,28
48,21,6,29,12,25,14,37,2
45,21,4,29,11,20,1,24,37
36,1,26,11,21,31,16,41,6
49,16,1,30,11,26,3,22,37
11,34,21,8,23,40,1,20,37
27,6,19,42,13,28,5,24,39
28,6,25,13,34,19,41,8,20
13,32,18,5,27,45,21,6,34
23,7,32,13,28,15,36,9,18
5,30,17,38,15,2,24,44,11
1,17,44,23,8,29,12,35,48
32,7,24,11,30,17,41,6,22
46,17,4,25,8,31,12,33,45
2,23,38,44,14,29,7,20,35
34,9,22,4,28,13,31,5,20
31,8,23,1,22,41,14,37,4
47,20,8,1,24,39,17,33,5
3,20,39,16,31,8,27,4,22
43,12,27,9,26,46,1,18,32
48,22,3,28,7,35,14,40,1
2,24,47,20,6,31,11,33,45
3,28,15,36,9,21,13,40,2
44,19,4,27,11,30,1,24,38
29,12,1,24,7,30,11,34,47
49,20,9,2,25,40,16,33,6
29,6,35,11,26,42,15,2,28
21,4,33,10,29,16,37,6,23
4,29,16,39,12,25,1,23,42
